,title,premiere year,rating,time,genre,star,plot
0,Beastly Behaviour,1994,6.0,1 min,"Animation, Short, Comedy",Rupert Farley,Comedic animation series explaining the mating habits of various creatures.
1,Bicentennial Minutes,1974,8.6,1 min,"Short, History"," Walter Cronkite, Cleveland Amory, Edward Asner, Roddy McDowall","Minute-long ""on this day in history"" shorts, used a countdown to America's bicentennial."
2,Heritage Minutes,1991,8.0,1 min,"Short, Drama, History"," Katherine Trowell, Steve Cumyn, Aidan Devine, Jean L'Italien",A series of short films illustrating interesting moments of Canadian history.
3,60 Seconds,2004,5.5,1 min,News," Tasmin Lucia-Khan, Sam Naz, Christopher Lee Johnson, James Harrod","News programme which summarizes all the day's news stories in a one minute bulletin, every hour."
4,Los pintin,1999,5.2,1 min,"Animation, Short, Adventure",,Add a Plot
5,På sofaen,2002,5.4,1 min,Animation,Gunnar Wille,"Each episode features a man lying down on a couch, unburdening his heart to an animated psychoanalyst who is sitting beside him in a soft armchair. The psychoanalyst sometimes takes a new ...                See full summary »"
6,The More You Know,1989,6.6,1 min,Family," Jason Alexander, Tatyana Ali, Jennifer Aniston, Christina Applegate","Launched in 1989, NBC's ""The More You Know"" series of brief public service announcements has utilized the talents of some of Hollywood's brightest stars (almost only actors appearing on ...                See full summary »"
7,Antivol,1977,4.8,1 min,Short," Daniel Ceccaldi, Sylvie Durepaire",Add a Plot
8,Urarochi Diamond,2001,4.6,1 min,Animation,,Add a Plot
9,La noiraude,1976,7.6,1 min,"Animation, Short, Family"," Ginette Garcin, Dominique Marcombe, Gilles Gay",Add a Plot
10,Stop for a Minute,2001,3.0,1 min,"Documentary, Animation, Short"," Jasper Pummell, Francis Pummell, Harmony Korine, Roman Coppola",Add a Plot
11,Quick & Flupke,1984,6.7,1 min,"Animation, Short, Comedy",Alain Perpète,"In these animated versions of cartoons, the eponymous rascals, naughty street-kids in the 'Marollen', a poor but colorful quarter of Brussels, spend their time playing pranks, mainly on ...                See full summary »"
